Regions,Average_Payment,Average_Covered,Covered_Ratio
West,11319.163170745482,52043.929995375234,0.8213603123655954
Midwest,9152.765387195372,29002.776602841233,0.7601196337458554
Northeast,10328.93418015187,37179.107245200576,0.7825855608806496
South,8874.703992264745,32654.281115169353,0.7863009661973154
